"11al -- First registrations of vehicles, 2001-2025"

"Vehicle class","Region","2001 Number","2002 Number","2003 Number","2004 Number","2005 Number","2006 Number","2007 Number","2008 Number","2009 Number","2010 Number","2011 Number","2012 Number","2013 Number","2014 Number","2015 Number","2016 Number","2017 Number","2018 Number","2019 Number","2020 Number","2021 Number","2022 Number","2023 Number","2024 Number","2025 Number"
"All automobiles","MAINLAND FINLAND",127509,135367,166234,164741,168121,166673,147854,160998,103023,126418,144433,126514,117756,120111,123484,136441,138099,140393,133520,112974,115297,96651,102730,87817,71753
"All automobiles","Uusimaa",51790,54104,64706,65292,68022,68539,61460,66931,43738,53917,62309,54111,50905,52278,55194,60259,61451,62412,60811,51698,53144,45867,51030,42654,34374
"All automobiles","Southwest Finland",10923,11374,14341,14493,14398,14633,12522,13468,8691,10636,12028,10667,9951,10032,10133,11406,11725,11990,11285,9461,9730,7981,8498,7240,5943
"All automobiles","Satakunta",4784,5122,6560,6073,6139,6131,5523,5986,3748,4619,5099,4578,3997,4033,4198,4463,4655,4465,4019,3272,3305,2593,2591,2424,2038
"All automobiles","Kanta-Häme",3966,4314,5287,5057,5158,5079,4513,4567,2825,3591,4112,3614,3439,3412,3515,3878,3844,3804,3506,3019,2903,2339,2340,2061,1643
"All automobiles","Pirkanmaa",10027,10382,13138,13045,12838,12705,11552,12038,7762,9845,10850,9749,8955,8996,9052,10557,10593,10812,10085,8867,8881,7413,7700,6591,5525
"All automobiles","Päijät-Häme",4232,4567,5665,5464,5708,5640,5022,5441,3292,3961,4719,4133,3924,3987,4002,4447,4729,4770,4353,3742,3713,3122,2918,2643,2189
"All automobiles","Kymenlaakso",4411,4593,5748,5830,5678,5552,4768,5039,3119,4008,4345,3672,3531,3673,3616,3960,3992,3986,3814,3250,3204,2531,2449,2106,1794
"All automobiles","South Karelia",2991,3201,3854,3782,4010,3689,3409,3594,2174,2793,3351,2935,2690,2726,2618,2944,2944,3036,2723,2338,2428,1943,1806,1674,1337
"All automobiles","South Savo",2620,2992,3780,3638,3599,3589,3283,3485,2134,2622,2976,2712,2352,2475,2454,2616,2613,2718,2468,1991,2008,1617,1630,1298,1038
"All automobiles","North Savo",4691,4986,6215,5794,5939,6051,5255,6129,3846,4548,5432,4797,4258,4532,4415,5001,4952,5010,4746,4108,4229,3128,3183,2795,2313
"All automobiles","North Karelia",2462,2707,3466,3287,3382,3231,2780,3200,1982,2570,2908,2578,2360,2454,2323,2741,2774,2924,2663,2421,2440,1948,1924,1772,1484
"All automobiles","Central Finland",5163,5659,6819,6610,6725,6495,5520,5900,3904,4701,5345,4662,4255,4388,4432,5009,4916,5065,4610,3803,3768,3239,3193,2877,2205
"All automobiles","South Ostrobothnia",3694,4206,5283,5249,5130,5031,4486,5012,3252,3811,4207,3752,3405,3194,3321,3725,3561,3621,3417,2866,2932,2474,2518,2169,1807
"All automobiles","Ostrobothnia",3298,3527,4483,4417,4300,4204,3574,4024,2589,2965,3426,2880,2723,2591,2812,3048,2969,2895,2778,2220,2288,1825,1901,1769,1449
"All automobiles","Central Ostrobothnia",1231,1330,1585,1651,1702,1627,1359,1483,939,1151,1321,1189,1150,1122,1150,1319,1288,1240,1192,1009,1013,836,930,810,909
"All automobiles","North Ostrobothnia",6862,7457,9196,9054,9126,8555,7429,8413,5210,6163,6989,6141,5692,6027,6075,6567,6540,7004,6532,5320,5565,4504,4726,3892,3206
"All automobiles","Kainuu",1390,1464,1815,1819,1818,1722,1569,1827,1123,1230,1348,1238,1120,1031,995,1055,1118,1083,939,805,804,601,598,534,428
"All automobiles","Lapland",2972,3382,4292,4185,4446,4191,3824,4411,2632,3250,3653,3092,3016,3053,3133,3390,3370,3490,3414,2649,2817,2516,2562,2287,1889
"All automobiles","Unknown",2,0,1,0,1,2,3,15,21,13,5,2,16,95,30,27,27,34,70,50,51,66,66,69,73
"All automobiles","Foreign countries",0,0,0,1,2,7,3,35,42,24,10,12,17,12,16,29,38,34,95,85,74,108,167,152,109
"Passenger cars","MAINLAND FINLAND",109428,117034,147405,142642,148161,145700,125617,139669,90575,111989,126130,111258,103455,106235,108820,119000,118587,120505,114203,96418,98485,81700,87509,74075,60167
"Passenger cars","Uusimaa",45540,47876,58377,58349,60848,61171,53544,59146,38913,47903,54690,47683,44769,46850,49272,53221,53549,54280,52493,44803,45902,39015,43924,36347,29201
"Passenger cars","Southwest Finland",9292,9764,12693,12407,12644,12736,10524,11727,7652,9480,10551,9464,8844,8822,8929,9901,10058,10358,9813,8193,8450,6915,7421,6210,5139
"Passenger cars","Satakunta",3915,4261,5609,5058,5272,5176,4517,4988,3245,4070,4365,3972,3516,3513,3625,3787,3912,3718,3378,2728,2711,2115,2068,1941,1613
"Passenger cars","Kanta-Häme",3339,3634,4651,4313,4484,4335,3805,3921,2481,3181,3615,3178,3015,2995,3093,3381,3271,3266,3011,2581,2476,1979,1997,1708,1363
