"12st -- Total energy consumption by energy source, 2010Q1-2025Q2*"

"Quarter","Energy source","Quantity (TJ)","Quantity (GWh)","Share of total energy consumption (%)","Quantity, quarter-on-quarter change (%)","Quantity, year-on-year change (%)","Cumulative quantity from beginning of the year (TJ)","Cumulative quantity from beginning of the year (GWh)","Cumulative quantity from beginning of the year, year-on-year change (%)"
"2010Q1","SSS TOTAL ENERGY CONSUMPTION",433836,120510,100.0,..,..,433836,120510,..
"2010Q1","1 Renewable energy",113970,31658,26.3,..,..,113970,31658,..
"2010Q1","1.1 Hydro power",10581,2939,2.4,..,..,10581,2939,..
"2010Q1","1.2 Wind power",253,70,0.1,..,..,253,70,..
"2010Q1","1.3 Wood fuels",93900,26083,21.6,..,..,93900,26083,..
"2010Q1","1.4 Other renewable energy",9235,2565,2.1,..,..,9235,2565,..
"2010Q1","2 Fossil fuels and peat",246203,68390,56.8,..,..,246203,68390,..
"2010Q1","2.1 Oil (fossil)",90909,25252,21.0,..,..,90909,25252,..
"2010Q1","2.2 Coal",68337,18982,15.8,..,..,68337,18982,..
"2010Q1","2.3 Natural gas",50755,14099,11.7,..,..,50755,14099,..
"2010Q1","2.4 Peat",34613,9615,8.0,..,..,34613,9615,..
"2010Q1","2.5 Other fossil fuels",1589,441,0.4,..,..,1589,441,..
"2010Q1","3 Nuclear energy",64042,17790,14.8,..,..,64042,17790,..
"2010Q1","4 Net imports of electricity",7494,2082,1.7,..,..,7494,2082,..
"2010Q1","5 Others",2127,591,0.5,..,..,2127,591,..
"2010Q2","SSS TOTAL ENERGY CONSUMPTION",317157,88099,100.0,-26.9,..,750993,208609,..
"2010Q2","1 Renewable energy",94279,26189,29.7,-17.3,..,208249,57847,..
"2010Q2","1.1 Hydro power",13573,3770,4.3,28.3,..,24155,6710,..
"2010Q2","1.2 Wind power",205,57,0.1,-18.9,..,458,127,..
"2010Q2","1.3 Wood fuels",75125,20868,23.7,-20.0,..,169025,46951,..
"2010Q2","1.4 Other renewable energy",5376,1493,1.7,-41.8,..,14611,4059,..
"2010Q2","2 Fossil fuels and peat",158664,44073,50.0,-35.6,..,404867,112463,..
"2010Q2","2.1 Oil (fossil)",79231,22009,25.0,-12.9,..,170140,47261,..
"2010Q2","2.2 Coal",32587,9052,10.3,-52.3,..,100924,28034,..
"2010Q2","2.3 Natural gas",26121,7256,8.2,-48.5,..,76876,21355,..
"2010Q2","2.4 Peat",19135,5315,6.0,-44.7,..,53748,14930,..
"2010Q2","2.5 Other fossil fuels",1589,441,0.5,0.0,..,3178,883,..
"2010Q2","3 Nuclear energy",54215,15060,17.1,-15.3,..,118257,32849,..
